"GEO_ID","NAME","YEAR","zip_code","vets_popcount","nonvets_pop_count","total_labor_force_percent","vets_labor_force_percent","nonvets_labor_force_percent","total_labor_force_count","vets_labor_force_count","nonvets_labor_force_count","total_unemp_rate_percent","vets_unemp_rate_percent","nonvets_unemp_rate_percent","total_pov_count","total_pov_percent","vets_pov_count","vets_pov_percent","nonvets_pov_count","nonvets_pov_percent","total_dis_count","total_dis_percent","vet_dis_count","vet_dis_percent","nonvet_dis_count","nonvet_dis_percent","drop_zip","zero_flag"
"8600000US06390","ZCTA5 06390","2019","06390",0,24,94.3,90.9,95.5,83,20,63,32.5,0,42.9,0,0,0,0,0,0,16,14.4,4,16.7,12,13.8,FALSE,0
"8600000US10001","ZCTA5 10001","2019","10001",0,450,81.9,69,81.9,15164,87,15077,4.7,35.6,4.6,2681,12.7,93,20.7,2588,12.5,2333,11,152,33.8,2181,10.5,FALSE,0
"8600000US10002","ZCTA5 10002","2019","10002",0,1088,71.3,53.6,71.4,34253,195,34058,6.3,13.3,6.2,16650,25.9,193,17.7,16457,26,10906,16.9,459,42.2,10447,16.5,FALSE,0
"8600000US10003","ZCTA5 10003","2019","10003",0,1219,72.3,87.6,72.2,31352,339,31013,4.9,18.9,4.8,3960,9.6,33,2.7,3927,9.8,3579,8.7,391,32.1,3188,8,FALSE,0
"8600000US10004","ZCTA5 10004","2019","10004",0,61,86.6,100,86.5,2384,32,2352,3.6,0,3.7,44,1.5,0,0,44,1.5,154,5.2,0,0,154,5.3,FALSE,0
"8600000US10005","ZCTA5 10005","2019","10005",0,94,92.6,100,92.5,7009,94,6915,3.1,0,3.1,796,10.4,0,0,796,10.5,175,2.3,5,5.3,170,2.2,FALSE,0
"8600000US10007","ZCTA5 10007","2019","10007",0,215,74.4,69.6,74.5,4061,32,4029,2.1,0,2.1,127,2.5,0,0,127,2.6,127,2.5,33,21.7,94,1.9,FALSE,0
"8600000US10009","ZCTA5 10009","2019","10009",0,917,73.5,79.6,73.4,31547,172,31375,3.6,0,3.6,11489,22.2,93,10.1,11396,22.4,6992,13.5,258,28.1,6734,13.2,FALSE,0
"8600000US10010","ZCTA5 10010","2019","10010",0,932,79.5,53.2,79.9,21041,200,20841,3.7,0,3.8,3163,10.9,59,6.3,3104,11.1,2141,7.4,292,31.3,1849,6.6,FALSE,0
"8600000US10011","ZCTA5 10011","2019","10011",0,1179,85.7,12,86.1,31777,21,31756,3.7,0,3.7,4542,10.3,136,11.5,4406,10.2,4551,10.3,376,31.9,4175,9.7,FALSE,0
"8600000US10012","ZCTA5 10012","2019","10012",0,470,78.6,90.3,78.5,14091,159,13932,4.1,35.2,3.8,2379,11.8,43,9.1,2336,11.8,1402,6.9,110,23.4,1292,6.6,FALSE,0
"8600000US10013","ZCTA5 10013","2019","10013",0,254,79,0,79.3,15436,0,15436,3.1,0,3.1,2553,11.5,0,0,2553,11.6,2135,9.6,37,16.5,2098,9.5,FALSE,0
"8600000US10014","ZCTA5 10014","2019","10014",0,732,87.4,86.9,87.4,20279,139,20140,5.2,0,5.2,1721,6.3,12,1.6,1709,6.4,1976,7.2,181,24.7,1795,6.7,FALSE,0
"8600000US10016","ZCTA5 10016","2019","10016",0,750,85.2,96.4,85.1,35593,266,35327,3.1,10.5,3,4094,8.6,0,0,4094,8.7,3545,7.4,246,33.2,3299,7,FALSE,0
"8600000US10017","ZCTA5 10017","2019","10017",0,391,88.2,100,88.1,10173,126,10047,3.2,20.6,3,996,6.8,81,20.7,915,6.5,1151,7.9,33,8.4,1118,7.9,FALSE,0
"8600000US10018","ZCTA5 10018","2019","10018",0,87,84,43.9,84.2,6371,18,6353,3.6,0,3.6,1163,14.1,21,24.1,1142,14,625,7.6,11,12.6,614,7.5,FALSE,0
"8600000US10019","ZCTA5 10019","2019","10019",0,1009,83.3,46.3,83.7,29407,188,29219,5.1,8,5.1,5409,12.9,194,19.2,5215,12.8,4451,10.6,432,42.8,4019,9.8,FALSE,0
"8600000US10021","ZCTA5 10021","2019","10021",0,1699,82.4,71.8,82.6,22244,234,22010,1.8,0,1.9,2141,5.8,49,2.9,2092,5.9,3172,8.6,542,32,2630,7.5,FALSE,0
"8600000US10022","ZCTA5 10022","2019","10022",0,1237,88.4,100,88.3,17121,48,17073,2.3,0,2.3,1198,4.3,91,7.4,1107,4.2,2307,8.4,461,37.3,1846,7,FALSE,0
"8600000US10023","ZCTA5 10023","2019","10023",0,1723,81.6,90.6,81.5,32569,386,32183,4,6.2,3.9,4329,8.2,184,10.7,4145,8.2,5650,10.8,745,43.2,4905,9.7,FALSE,0
"8600000US10024","ZCTA5 10024","2019","10024",0,952,85.7,72.3,85.8,31208,172,31036,2.9,8.1,2.9,3736,7.8,74,7.9,3662,7.8,4564,9.6,280,29.9,4284,9.2,FALSE,0
"8600000US10025","ZCTA5 10025","2019","10025",0,1517,76.5,83.1,76.4,46012,530,45482,5,4.3,5,10891,14.5,36,2.4,10855,14.7,9767,13,358,23.7,9409,12.7,FALSE,0
"8600000US10026","ZCTA5 10026","2019","10026",0,730,75.6,73.9,75.6,20429,403,20026,6.3,0,6.4,6741,21.7,179,24.6,6562,21.6,3852,12.4,233,32,3619,11.9,FALSE,0
"8600000US10027","ZCTA5 10027","2019","10027",0,636,63.6,64.2,63.6,29625,238,29387,5.8,29.4,5.6,11503,24.5,128,20.3,11375,24.6,5874,12.5,181,28.7,5693,12.3,FALSE,0
"8600000US10028","ZCTA5 10028","2019","10028",0,876,86.8,35.9,86.9,26692,23,26669,2.8,0,2.8,2346,5.9,8,0.9,2338,6,2537,6.3,243,27.7,2294,5.9,FALSE,0
"8600000US10029","ZCTA5 10029","2019","10029",0,1350,65.3,49.3,65.6,32930,372,32558,9.5,7.8,9.5,17079,29.2,142,10.6,16937,29.6,10358,17.7,282,21,10076,17.6,FALSE,0
"8600000US10030","ZCTA5 10030","2019","10030",0,564,75.1,55.4,75.4,16205,222,15983,9.9,15.8,9.8,6306,25.3,193,34.2,6113,25,4153,16.6,128,22.7,4025,16.5,FALSE,0
"8600000US10031","ZCTA5 10031","2019","10031",0,1015,82,95.4,81.8,35189,581,34608,6.4,0,6.5,9864,19.8,132,13,9732,19.9,6206,12.4,228,22.5,5978,12.2,FALSE,0
"8600000US10032","ZCTA5 10032","2019","10032",0,949,78.8,56,79.1,35677,330,35347,7.4,0,7.5,10251,19.3,114,12.2,10137,19.4,8870,16.7,366,39.1,8504,16.3,FALSE,0
"8600000US10033","ZCTA5 10033","2019","10033",0,640,79.4,51.3,79.7,31540,216,31324,7.7,0,7.7,7804,16.5,102,16.1,7702,16.5,7434,15.8,195,30.9,7239,15.5,FALSE,0
"8600000US10034","ZCTA5 10034","2019","10034",0,720,79,59.1,79.3,22304,273,22031,4.9,0,5,5568,16.3,63,8.8,5505,16.4,5212,15.2,169,23.5,5043,15,FALSE,0
"8600000US10035","ZCTA5 10035","2019","10035",0,553,60.4,57.7,60.4,15032,199,14833,8.9,14.1,8.9,9812,34.4,300,55.7,9512,34,5225,18.3,219,40.6,5006,17.9,FALSE,0
"8600000US10036","ZCTA5 10036","2019","10036",0,358,86,62.1,86.2,19712,131,19581,3.6,0,3.7,3840,14.6,86,24,3754,14.4,3414,12.9,156,43.6,3258,12.5,FALSE,0
